Season;League;Position;Team;GamesPlayed;Wins;Draws;Losses;GoalsFavour;GoalsAgainst;GoalDifference;Points;LeagueWeight;Year;HistoricalPoints;HistoricalPosition
2018-2019;serie-a;3;Atalanta;38;0.5263157894736842;0.23684210526315788;0.23684210526315788;2.026315789473684;1.2105263157894737;0.8157894736842105;1.8157894736842106;-0.5541017541874508;2018;1.6684614037662926;6.266160032943079
2019-2020;serie-a;3;Atalanta;38;0.6052631578947368;0.23684210526315788;0.15789473684210525;2.5789473684210527;1.263157894736842;1.3157894736842106;2.0526315789473686;-0.5541017541874508;2019;1.7401017738081017;4.67794324909345
2020-2021;serie-a;3;Atalanta;38;0.6052631578947368;0.23684210526315788;0.15789473684210525;2.3684210526315788;1.236842105263158;1.131578947368421;2.0526315789473686;-0.5541017541874508;2020;1.8791691010508387;3.931303795578168
2021-2022;serie-a;8;Atalanta;38;0.42105263157894735;0.2894736842105263;0.2894736842105263;1.7105263157894737;1.263157894736842;0.4473684210526316;1.5526315789473684;-0.5541017541874508;2021;1.952574570625572;3.537196705329375
2022-2023;serie-a;5;Atalanta;38;0.5;0.18421052631578946;0.3157894736842105;1.736842105263158;1.263157894736842;0.47368421052631576;1.6842105263157894;-0.5541017541874508;2022;1.7882105766520857;5.371268533297035
2023-2024;serie-a;4;Atalanta;38;0.5526315789473685;0.15789473684210525;0.2894736842105263;1.894736842105263;1.105263157894737;0.7894736842105263;1.8157894736842106;-0.5541017541874508;2023;1.7462048926360205;5.221312945349207
2013-2014;la-liga;4;Athletic Bilbao;38;0.5263157894736842;0.2631578947368421;0.21052631578947367;1.736842105263158;1.0263157894736843;0.7105263157894737;1.8421052631578947;1.367380135333548;2013;1.8421052631578947;4.0
2014-2015;la-liga;7;Athletic Bilbao;38;0.39473684210526316;0.2631578947368421;0.34210526315789475;1.105263157894737;1.0789473684210527;0.02631578947368421;1.4473684210526316;1.367380135333548;2014;1.8421052631578947;4.0
2015-2016;la-liga;5;Athletic Bilbao;38;0.47368421052631576;0.21052631578947367;0.3157894736842105;1.5263157894736843;1.1842105263157894;0.34210526315789475;1.631578947368421;1.367380135333548;2015;1.5963976324203206;5.8673779936055634
2016-2017;la-liga;7;Athletic Bilbao;38;0.5;0.15789473684210525;0.34210526315789475;1.394736842105263;1.131578947368421;0.2631578947368421;1.6578947368421053;1.367380135333548;2016;1.6142162785730867;5.428068048211149
2018-2019;la-liga;8;Athletic Bilbao;38;0.34210526315789475;0.3684210526315789;0.2894736842105263;1.0789473684210527;1.1842105263157894;-0.10526315789473684;1.394736842105263;1.367380135333548;2018;1.6340923459396506;6.143382338312158
